,4100-iSIC,SDL500R,SDL500R,SDL500R,SDL500R,SDL500R,SDL500R,SDL500R
,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg
Date/Time,Bat,Temp,Sp Cond,pH,Turb+,ODOSat,ODO,Bat
m/d/y,V,F,µS/cm,,NTU+,%,mg/L,V
5/24/2008 15:40,14.3,,,,,,,
5/24/2008 15:50,14.6,,,,,,,
5/24/2008 16:00,14.6,,,,,,,
5/24/2008 16:10,14.4,,,,,,,
5/24/2008 16:20,14.5,,,,,,,
5/24/2008 16:30,14.2,,,,,,,
5/24/2008 16:40,13.9,,,,,,,
5/24/2008 16:50,13.7,,,,,,,
5/24/2008 17:00,13.5,,,,,,,
5/24/2008 17:10,13.5,,,,,,,
5/24/2008 17:20,13.4,,,,,,,
5/24/2008 17:30,13.3,,,,,,,
5/24/2008 17:40,13.2,,,,,,,
5/24/2008 17:50,13.2,,,,,,,
5/24/2008 18:00,13.2,,,,,,,
5/24/2008 18:10,13.2,,,,,,,
5/24/2008 18:20,13.2,,,,,,,
5/24/2008 18:30,13.1,,,,,,,
5/24/2008 18:40,13.1,,,,,,,
5/24/2008 18:50,13.2,,,,,,,
5/24/2008 19:00,13.1,,,,,,,
5/24/2008 19:10,13.2,,,,,,,
5/24/2008 19:20,13.2,,,,,,,
5/24/2008 19:30,13.2,,,,,,,
5/24/2008 19:40,13.2,,,,,,,
5/24/2008 19:50,13.2,,,,,,,
5/24/2008 20:00,13.2,,,,,,,
5/24/2008 20:10,13.2,,,,,,,
5/24/2008 20:20,13.2,,,,,,,
5/24/2008 20:30,13.1,,,,,,,
5/24/2008 20:40,13.1,,,,,,,
5/24/2008 20:50,13.2,,,,,,,
5/24/2008 21:00,13.1,,,,,,,
5/24/2008 21:10,13.1,,,,,,,
5/24/2008 21:20,13.1,,,,,,,
5/24/2008 21:30,13.1,,,,,,,
5/24/2008 21:40,13.1,,,,,,,
5/24/2008 21:50,13.1,,,,,,,
5/24/2008 22:00,13.1,,,,,,,
5/24/2008 22:10,13.1,,,,,,,
5/24/2008 22:20,13.1,,,,,,,
5/24/2008 22:30,13.1,,,,,,,
5/24/2008 22:40,13,,,,,,,
5/24/2008 22:50,13.1,,,,,,,
5/24/2008 23:00,13,,,,,,,
5/24/2008 23:10,13.1,,,,,,,
5/24/2008 23:20,13.1,,,,,,,
5/24/2008 23:30,13.1,,,,,,,
5/24/2008 23:40,13.1,,,,,,,
5/24/2008 23:50,13.1,,,,,,,
5/25/2008 0:00,13.1,,,,,,,
5/25/2008 0:10,13.1,,,,,,,
5/25/2008 0:20,13.1,,,,,,,
5/25/2008 0:30,13.1,,,,,,,
5/25/2008 0:40,13.1,,,,,,,
5/25/2008 0:50,13.1,,,,,,,
5/25/2008 1:00,13.1,,,,,,,
5/25/2008 1:10,13.1,,,,,,,
5/25/2008 1:20,13.1,,,,,,,
5/25/2008 1:30,13,,,,,,,
5/25/2008 1:40,13.1,,,,,,,
5/25/2008 1:50,13.1,,,,,,,
5/25/2008 2:00,13.1,,,,,,,
5/25/2008 2:10,13,,,,,,,
5/25/2008 2:20,13,,,,,,,
5/25/2008 2:30,13,,,,,,,
5/25/2008 2:40,13,,,,,,,
5/25/2008 2:50,13,,,,,,,
5/25/2008 3:00,13,,,,,,,
5/25/2008 3:10,13,,,,,,,
5/25/2008 3:20,13,,,,,,,
5/25/2008 3:30,13.1,,,,,,,
5/25/2008 3:40,13.1,,,,,,,
5/25/2008 3:50,13.1,,,,,,,
5/25/2008 4:00,13.1,,,,,,,
5/25/2008 4:10,13.3,,,,,,,
5/25/2008 4:20,13.4,,,,,,,
5/25/2008 4:30,13.6,,,,,,,
5/25/2008 4:40,13.8,,,,,,,
5/25/2008 4:50,13.9,,,,,,,
5/25/2008 5:00,14.1,,,,,,,
5/25/2008 5:10,14.2,,,,,,,
5/25/2008 5:20,14.3,,,,,,,
5/25/2008 5:30,14.4,,,,,,,
5/25/2008 5:40,14.7,,,,,,,
5/25/2008 5:50,14.5,,,,,,,
5/25/2008 6:00,14.5,,,,,,,
5/25/2008 6:10,14.4,,,,,,,
5/25/2008 6:20,14.6,,,,,,,
5/25/2008 6:30,14.6,,,,,,,
5/25/2008 6:40,14.3,,,,,,,
5/25/2008 6:50,14.4,,,,,,,
5/25/2008 7:00,14.4,,,,,,,
5/25/2008 7:10,14.4,,,,,,,
5/25/2008 7:20,14.5,,,,,,,
5/25/2008 7:30,14.3,,,,,,,
5/25/2008 7:40,14.3,,,,,,,
5/25/2008 7:50,14.3,,,,,,,
5/25/2008 8:00,14.3,,,,,,,
5/25/2008 8:10,14.2,,,,,,,
5/25/2008 8:20,14.5,,,,,,,
5/25/2008 8:30,14.4,,,,,,,
5/25/2008 8:40,14.4,,,,,,,
5/25/2008 8:50,14.5,,,,,,,
5/25/2008 9:00,14.3,,,,,,,
5/25/2008 9:10,14.3,,,,,,,
5/25/2008 9:20,14.4,,,,,,,
5/25/2008 9:30,14.6,,,,,,,
5/25/2008 9:40,14.5,,,,,,,
5/25/2008 9:50,14.4,,,,,,,
5/25/2008 10:00,14.5,,,,,,,
5/25/2008 10:10,14.5,,,,,,,
5/25/2008 10:20,14.4,,,,,,,
5/25/2008 10:30,14.5,,,,,,,
5/25/2008 10:40,14.3,,,,,,,
5/25/2008 10:50,14.3,,,,,,,
5/25/2008 11:00,14.4,,,,,,,
5/25/2008 11:10,14.6,,,,,,,
5/25/2008 11:20,14.3,,,,,,,
5/25/2008 11:30,14.5,,,,,,,
5/25/2008 11:40,14.4,,,,,,,
5/25/2008 11:50,14.3,,,,,,,
5/25/2008 12:00,14.5,,,,,,,
5/25/2008 12:10,14.4,,,,,,,
5/25/2008 12:20,14.5,,,,,,,
5/25/2008 12:30,14.5,,,,,,,
5/25/2008 12:40,14.5,,,,,,,
5/25/2008 12:50,14.4,,,,,,,
5/25/2008 13:00,14.4,,,,,,,
5/25/2008 13:10,14.5,,,,,,,
5/25/2008 13:20,14.6,,,,,,,
5/25/2008 13:30,14.4,,,,,,,
5/25/2008 13:40,14.5,,,,,,,
5/25/2008 13:50,14.4,,,,,,,
5/25/2008 14:00,14.5,,,,,,,
5/25/2008 14:10,14.4,,,,,,,
5/25/2008 14:20,14.4,,,,,,,
5/25/2008 14:30,14.3,,,,,,,
5/25/2008 14:40,14.3,,,,,,,
5/25/2008 14:50,14.5,,,,,,,
5/25/2008 15:00,14.3,,,,,,,
5/25/2008 15:10,14.4,,,,,,,
5/25/2008 15:20,14.5,,,,,,,
5/25/2008 15:30,14.5,,,,,,,
5/25/2008 15:40,14.4,,,,,,,
5/25/2008 15:50,14.4,,,,,,,
5/25/2008 16:00,14.4,,,,,,,
5/25/2008 16:10,14.4,,,,,,,
5/25/2008 16:20,14.2,,,,,,,
5/25/2008 16:30,14.2,,,,,,,
5/25/2008 16:40,14.3,,,,,,,
5/25/2008 16:50,13.6,,,,,,,
5/25/2008 17:00,13.5,,,,,,,
5/25/2008 17:10,13.4,,,,,,,
5/25/2008 17:20,13.4,,,,,,,
5/25/2008 17:30,13.3,,,,,,,
5/25/2008 17:40,13.3,,,,,,,
5/25/2008 17:50,13.3,,,,,,,
5/25/2008 18:00,13.2,,,,,,,
5/25/2008 18:10,13.2,,,,,,,
5/25/2008 18:20,13.2,,,,,,,
5/25/2008 18:30,13.2,,,,,,,
5/25/2008 18:40,13.2,,,,,,,
5/25/2008 18:50,13.2,,,,,,,
5/25/2008 19:00,13.1,,,,,,,
5/25/2008 19:10,13.2,,,,,,,
5/25/2008 19:20,13.2,,,,,,,
5/25/2008 19:30,13.2,,,,,,,
5/25/2008 19:40,13.2,,,,,,,
5/25/2008 19:50,13.2,,,,,,,
5/25/2008 20:00,13.1,,,,,,,
5/25/2008 20:10,13.2,,,,,,,
5/25/2008 20:20,13.2,,,,,,,
5/25/2008 20:30,13.2,,,,,,,
5/25/2008 20:40,13.2,,,,,,,
5/25/2008 20:50,13.2,,,,,,,
5/25/2008 21:00,13.2,,,,,,,
5/25/2008 21:10,13.1,,,,,,,
5/25/2008 21:20,13.1,,,,,,,
5/25/2008 21:30,13.1,,,,,,,
5/25/2008 21:40,13.2,,,,,,,
5/25/2008 21:50,13.1,,,,,,,
5/25/2008 22:00,13.1,,,,,,,
5/25/2008 22:10,13.2,,,,,,,
5/25/2008 22:20,13.1,,,,,,,
5/25/2008 22:30,13.1,,,,,,,
5/25/2008 22:40,13.1,,,,,,,
5/25/2008 22:50,13.1,,,,,,,
5/25/2008 23:00,13.1,,,,,,,
5/25/2008 23:10,13.1,,,,,,,
5/25/2008 23:20,13.1,,,,,,,
5/25/2008 23:30,13.1,,,,,,,
5/25/2008 23:40,13.1,,,,,,,
5/25/2008 23:50,13.1,,,,,,,
5/26/2008 0:00,13.1,,,,,,,
5/26/2008 0:10,13.1,,,,,,,
5/26/2008 0:20,13.1,,,,,,,
5/26/2008 0:30,13.1,,,,,,,
5/26/2008 0:40,13.1,,,,,,,
5/26/2008 0:50,13.1,,,,,,,
5/26/2008 1:00,13.1,,,,,,,
5/26/2008 1:10,13.1,,,,,,,
5/26/2008 1:20,13.1,,,,,,,
5/26/2008 1:30,13.1,,,,,,,
5/26/2008 1:40,13.1,,,,,,,
5/26/2008 1:50,13.1,,,,,,,
5/26/2008 2:00,13.1,,,,,,,
5/26/2008 2:10,13.1,,,,,,,
5/26/2008 2:20,13.1,,,,,,,
5/26/2008 2:30,13.1,,,,,,,
5/26/2008 2:40,13.1,,,,,,,
5/26/2008 2:50,13.1,,,,,,,
5/26/2008 3:00,13.1,,,,,,,
5/26/2008 3:10,13.1,,,,,,,
5/26/2008 3:20,13.1,,,,,,,
5/26/2008 3:30,13.1,,,,,,,
5/26/2008 3:40,13.2,,,,,,,
5/26/2008 3:50,13.2,,,,,,,
5/26/2008 4:00,13.2,,,,,,,
5/26/2008 4:10,13.3,,,,,,,
5/26/2008 4:20,13.3,,,,,,,
5/26/2008 4:30,13.4,,,,,,,
5/26/2008 4:40,13.6,,,,,,,
5/26/2008 4:50,13.7,,,,,,,
5/26/2008 5:00,13.5,,,,,,,
5/26/2008 5:10,13.4,,,,,,,
5/26/2008 5:20,13.4,,,,,,,
5/26/2008 5:30,13.6,,,,,,,
5/26/2008 5:40,14,,,,,,,
5/26/2008 5:50,14.2,,,,,,,
5/26/2008 6:00,14,,,,,,,
5/26/2008 6:10,13.9,,,,,,,
5/26/2008 6:20,13.8,,,,,,,
5/26/2008 6:30,13.7,,,,,,,
5/26/2008 6:40,13.6,,,,,,,
5/26/2008 6:50,14.5,,,,,,,
5/26/2008 7:00,14.4,,,,,,,
5/26/2008 7:10,14.3,,,,,,,
5/26/2008 7:20,14.3,,,,,,,
5/26/2008 7:30,14.2,,,,,,,
5/26/2008 7:40,14.4,,,,,,,
5/26/2008 7:50,14.4,,,,,,,
5/26/2008 8:00,14.5,,,,,,,
5/26/2008 8:10,14.2,,,,,,,
5/26/2008 8:20,14.2,,,,,,,
5/26/2008 8:30,14.4,,,,,,,
5/26/2008 8:40,14.4,,,,,,,
5/26/2008 8:50,14.2,,,,,,,
5/26/2008 9:00,14.3,,,,,,,
5/26/2008 9:10,14.3,,,,,,,
5/26/2008 9:20,14.5,,,,,,,
5/26/2008 9:30,14.4,,,,,,,
5/26/2008 9:40,14.4,,,,,,,
5/26/2008 9:50,14.2,,,,,,,
5/26/2008 10:00,14.3,,,,,,,
5/26/2008 10:10,14.2,,,,,,,
5/26/2008 10:20,14.4,,,,,,,
5/26/2008 10:30,14.1,,,,,,,
5/26/2008 10:40,14.3,,,,,,,
5/26/2008 10:50,14.4,,,,,,,
5/26/2008 11:00,14.5,,,,,,,
5/26/2008 11:10,14.3,,,,,,,
5/26/2008 11:20,14.1,,,,,,,
5/26/2008 11:30,14.4,,,,,,,
5/26/2008 11:40,14.3,,,,,,,
5/26/2008 11:50,14.3,,,,,,,
5/26/2008 12:00,14.4,,,,,,,
5/26/2008 12:10,14.2,,,,,,,
5/26/2008 12:20,14.4,,,,,,,
5/26/2008 12:30,14.4,,,,,,,
5/26/2008 12:40,14.4,,,,,,,
5/26/2008 12:50,14.2,,,,,,,
5/26/2008 13:00,14.1,,,,,,,
5/26/2008 13:10,14.1,,,,,,,
5/26/2008 13:20,14.2,,,,,,,
5/26/2008 13:30,14.1,,,,,,,
5/26/2008 13:40,14.4,,,,,,,
5/26/2008 13:50,14.3,,,,,,,
5/26/2008 14:00,14.3,,,,,,,
5/26/2008 14:10,14.1,,,,,,,
5/26/2008 14:20,14.2,,,,,,,
5/26/2008 14:30,14.3,,,,,,,
5/26/2008 14:40,14.1,,,,,,,
5/26/2008 14:50,14.5,,,,,,,
5/26/2008 15:00,14.4,,,,,,,
5/26/2008 15:10,14.5,,,,,,,
5/26/2008 15:20,14.3,,,,,,,
5/26/2008 15:30,14.5,,,,,,,
5/26/2008 15:40,14.4,,,,,,,
5/26/2008 15:50,14.4,,,,,,,
5/26/2008 16:00,14.6,,,,,,,
5/26/2008 16:10,14.3,,,,,,,
5/26/2008 16:20,14,,,,,,,
5/26/2008 16:30,14.3,,,,,,,
5/26/2008 16:40,13.6,,,,,,,
5/26/2008 16:50,13.5,,,,,,,
5/26/2008 17:00,13.4,,,,,,,
5/26/2008 17:10,13.4,,,,,,,
5/26/2008 17:20,13.4,,,,,,,
5/26/2008 17:30,13.4,,,,,,,
5/26/2008 17:40,13.3,,,,,,,
5/26/2008 17:50,13.2,,,,,,,
5/26/2008 18:00,13.2,,,,,,,
5/26/2008 18:10,13.2,,,,,,,
5/26/2008 18:20,13.2,,,,,,,
5/26/2008 18:30,13.2,,,,,,,
5/26/2008 18:40,13.2,,,,,,,
5/26/2008 18:50,13.2,,,,,,,
5/26/2008 19:00,13.2,,,,,,,
5/26/2008 19:10,13.2,,,,,,,
5/26/2008 19:20,13.2,,,,,,,
5/26/2008 19:30,13.2,,,,,,,
5/26/2008 19:40,13.2,,,,,,,
5/26/2008 19:50,13.2,,,,,,,
5/26/2008 20:00,13.1,,,,,,,
5/26/2008 20:10,13.2,,,,,,,
5/26/2008 20:20,13.2,,,,,,,
5/26/2008 20:30,13.2,,,,,,,
5/26/2008 20:40,13.2,,,,,,,
5/26/2008 20:50,13.2,,,,,,,
5/26/2008 21:00,13.1,,,,,,,
5/26/2008 21:10,13.2,,,,,,,
5/26/2008 21:20,13.2,,,,,,,
5/26/2008 21:30,13.2,,,,,,,
5/26/2008 21:40,13.2,,,,,,,
5/26/2008 21:50,13.1,,,,,,,
5/26/2008 22:00,13.2,,,,,,,
5/26/2008 22:10,13.2,,,,,,,
5/26/2008 22:20,13.2,,,,,,,
5/26/2008 22:30,13.2,,,,,,,
5/26/2008 22:40,13.2,,,,,,,
5/26/2008 22:50,13.2,,,,,,,
5/26/2008 23:00,13.2,,,,,,,
5/26/2008 23:10,13.2,,,,,,,
5/26/2008 23:20,13.2,,,,,,,
5/26/2008 23:30,13.2,,,,,,,
5/26/2008 23:40,13.1,,,,,,,
5/26/2008 23:50,13.2,,,,,,,
5/27/2008 0:00,13.1,,,,,,,
5/27/2008 0:10,13.1,,,,,,,
5/27/2008 0:20,13.1,,,,,,,
5/27/2008 0:30,13.1,,,,,,,
5/27/2008 0:40,13.1,,,,,,,
5/27/2008 0:50,13.1,,,,,,,
5/27/2008 1:00,13.1,,,,,,,
5/27/2008 1:10,13.1,,,,,,,
5/27/2008 1:20,13.1,,,,,,,
5/27/2008 1:30,13.1,,,,,,,
5/27/2008 1:40,13.1,,,,,,,
5/27/2008 1:50,13.1,,,,,,,
5/27/2008 2:00,13.1,,,,,,,
5/27/2008 2:10,13.1,,,,,,,
5/27/2008 2:20,13.1,,,,,,,
5/27/2008 2:30,13.1,,,,,,,
5/27/2008 2:40,13.1,,,,,,,
5/27/2008 2:50,13.1,,,,,,,
5/27/2008 3:00,13.1,,,,,,,
5/27/2008 3:10,13.1,,,,,,,
5/27/2008 3:20,13.1,,,,,,,
5/27/2008 3:30,13.1,,,,,,,
5/27/2008 3:40,13.1,,,,,,,
5/27/2008 3:50,13.1,,,,,,,
5/27/2008 4:00,13.1,,,,,,,
5/27/2008 4:10,13.2,,,,,,,
5/27/2008 4:20,13.2,,,,,,,
5/27/2008 4:30,13.2,,,,,,,
5/27/2008 4:40,13.2,,,,,,,
5/27/2008 4:50,13.3,,,,,,,
5/27/2008 5:00,13.4,,,,,,,
5/27/2008 5:10,13.5,,,,,,,
5/27/2008 5:20,13.5,,,,,,,
5/27/2008 5:30,13.6,,,,,,,
5/27/2008 5:40,13.6,,,,,,,
5/27/2008 5:50,13.6,,,,,,,
5/27/2008 6:00,13.6,,,,,,,
5/27/2008 6:10,13.4,,,,,,,
5/27/2008 6:20,13.4,,,,,,,
5/27/2008 6:30,13.4,,,,,,,
5/27/2008 6:40,13.4,,,,,,,
5/27/2008 6:50,13.5,,,,,,,
5/27/2008 7:00,13.5,,,,,,,
5/27/2008 7:10,13.5,,,,,,,
5/27/2008 7:20,13.7,,,,,,,
5/27/2008 7:30,13.7,,,,,,,
5/27/2008 7:40,13.7,,,,,,,
5/27/2008 7:50,13.7,,,,,,,
5/27/2008 8:00,13.9,,,,,,,
5/27/2008 8:10,13.9,,,,,,,
5/27/2008 8:20,13.9,,,,,,,
5/27/2008 8:30,14,,,,,,,
5/27/2008 8:40,13.9,,,,,,,
5/27/2008 8:50,13.9,,,,,,,
5/27/2008 9:00,13.9,,,,,,,
5/27/2008 9:10,14.1,,,,,,,
5/27/2008 9:20,14.1,,,,,,,
5/27/2008 9:30,14.6,,,,,,,
5/27/2008 9:40,14.5,,,,,,,
5/27/2008 9:50,14.3,,,,,,,
5/27/2008 10:00,14.4,,,,,,,
5/27/2008 10:10,14.5,,,,,,,
5/27/2008 10:20,14.4,,,,,,,
5/27/2008 10:30,14.4,,,,,,,
5/27/2008 10:40,14.6,,,,,,,
5/27/2008 10:50,14.3,,,,,,,
5/27/2008 11:00,14.3,,,,,,,
5/27/2008 11:10,14.5,,,,,,,
5/27/2008 11:20,14.4,,,,,,,
5/27/2008 11:30,14.6,,,,,,,
5/27/2008 11:40,14.5,,,,,,,
5/27/2008 11:50,14.6,,,,,,,
5/27/2008 12:00,14.6,,,,,,,
5/27/2008 12:10,14.5,,,,,,,
5/27/2008 12:20,14.4,,,,,,,
5/27/2008 12:30,14.4,,,,,,,
5/27/2008 12:40,14.6,,,,,,,
5/27/2008 12:50,14.3,,,,,,,
5/27/2008 13:00,14.4,,,,,,,
5/27/2008 13:10,14.4,,,,,,,
5/27/2008 13:20,14.4,,,,,,,
5/27/2008 13:30,14.5,,,,,,,
5/27/2008 13:40,14.2,,,,,,,
5/27/2008 13:50,14.3,,,,,,,
5/27/2008 14:00,14.6,,,,,,,
5/27/2008 14:10,14.5,,,,,,,
5/27/2008 14:20,14.6,,,,,,,
5/27/2008 14:30,14.5,,,,,,,
5/27/2008 14:40,14.3,,,,,,,
5/27/2008 14:50,14.4,,,,,,,
5/27/2008 15:00,14.4,,,,,,,
5/27/2008 15:10,14.6,,,,,,,
5/27/2008 15:20,14.4,,,,,,,
5/27/2008 15:30,14.5,,,,,,,
5/27/2008 15:40,14.4,,,,,,,
5/27/2008 15:50,14.1,,,,,,,
5/27/2008 16:00,14.4,,,,,,,
5/27/2008 16:10,13.8,,,,,,,
5/27/2008 16:20,14,,,,,,,
5/27/2008 16:30,14.4,,,,,,,
5/27/2008 16:40,14.3,,,,,,,
5/27/2008 16:50,14.5,,,,,,,
5/27/2008 17:00,13.5,,,,,,,
5/27/2008 17:10,13.4,,,,,,,
5/27/2008 17:20,13.4,,,,,,,
5/27/2008 17:30,13.3,,,,,,,
5/27/2008 17:40,13.3,,,,,,,
5/27/2008 17:50,13.3,,,,,,,
5/27/2008 18:00,13.2,,,,,,,
5/27/2008 18:10,13.2,,,,,,,
5/27/2008 18:20,13.2,,,,,,,
5/27/2008 18:30,13.2,,,,,,,
5/27/2008 18:40,13.2,,,,,,,
5/27/2008 18:50,13.2,,,,,,,
5/27/2008 19:00,13.2,,,,,,,
5/27/2008 19:10,13.2,,,,,,,
5/27/2008 19:20,13.2,,,,,,,
5/27/2008 19:30,13.2,,,,,,,
5/27/2008 19:40,13.2,,,,,,,
5/27/2008 19:50,13.2,,,,,,,
5/27/2008 20:00,13.2,,,,,,,
5/27/2008 20:10,13.1,,,,,,,
5/27/2008 20:20,13.1,,,,,,,
5/27/2008 20:30,13.1,,,,,,,
5/27/2008 20:40,13.1,,,,,,,
5/27/2008 20:50,13.1,,,,,,,
5/27/2008 21:00,13.1,,,,,,,
5/27/2008 21:10,13.1,,,,,,,
5/27/2008 21:20,13.1,,,,,,,
5/27/2008 21:30,13.1,,,,,,,
5/27/2008 21:40,13.1,,,,,,,
5/27/2008 21:50,13.1,,,,,,,
5/27/2008 22:00,13,,,,,,,
5/27/2008 22:10,13,,,,,,,
5/27/2008 22:20,13.1,,,,,,,
5/27/2008 22:30,13.1,,,,,,,
5/27/2008 22:40,13.1,,,,,,,
5/27/2008 22:50,13.1,,,,,,,
5/27/2008 23:00,13.1,,,,,,,
5/27/2008 23:10,13,,,,,,,
5/27/2008 23:20,13,,,,,,,
5/27/2008 23:30,13,,,,,,,
5/27/2008 23:40,13,,,,,,,
5/27/2008 23:50,13,,,,,,,
5/28/2008 0:00,13,,,,,,,
5/28/2008 0:10,13,,,,,,,
5/28/2008 0:20,13,,,,,,,
5/28/2008 0:30,13,,,,,,,
5/28/2008 0:40,13,,,,,,,
5/28/2008 0:50,13,,,,,,,
5/28/2008 1:00,12.9,,,,,,,
5/28/2008 1:10,13,,,,,,,
5/28/2008 1:20,13,,,,,,,
5/28/2008 1:30,13,,,,,,,
5/28/2008 1:40,13,,,,,,,
5/28/2008 1:50,13,,,,,,,
5/28/2008 2:00,13,,,,,,,
5/28/2008 2:10,13,,,,,,,
5/28/2008 2:20,13,,,,,,,
5/28/2008 2:30,13,,,,,,,
5/28/2008 2:40,13,,,,,,,
5/28/2008 2:50,13,,,,,,,
5/28/2008 3:00,12.9,,,,,,,
5/28/2008 3:10,13,,,,,,,
5/28/2008 3:20,13,,,,,,,
5/28/2008 3:30,13,,,,,,,
5/28/2008 3:40,13.1,,,,,,,
5/28/2008 3:50,13.1,,,,,,,
5/28/2008 4:00,13.2,,,,,,,
5/28/2008 4:10,13.3,,,,,,,
5/28/2008 4:20,13.4,,,,,,,
5/28/2008 4:30,13.6,,,,,,,
5/28/2008 4:40,13.8,,,,,,,
5/28/2008 4:50,14,,,,,,,
5/28/2008 5:00,14.3,,,,,,,
5/28/2008 5:10,14.3,,,,,,,
5/28/2008 5:20,14.1,,,,,,,
5/28/2008 5:30,14.4,,,,,,,
5/28/2008 5:40,14.5,,,,,,,
5/28/2008 5:50,14.5,,,,,,,
5/28/2008 6:00,14.6,,,,,,,
5/28/2008 6:10,14.6,,,,,,,
5/28/2008 6:20,14.5,,,,,,,
5/28/2008 6:30,14.7,,,,,,,
5/28/2008 6:40,14.4,,,,,,,
5/28/2008 6:50,14.6,,,,,,,
5/28/2008 7:00,14.4,,,,,,,
5/28/2008 7:10,14.6,,,,,,,
5/28/2008 7:20,14.7,,,,,,,
5/28/2008 7:30,14.4,,,,,,,
5/28/2008 7:40,14.6,,,,,,,
5/28/2008 7:50,14.3,,,,,,,
5/28/2008 8:00,14.5,,,,,,,
5/28/2008 8:10,14.4,,,,,,,
5/28/2008 8:20,14.5,,,,,,,
5/28/2008 8:30,14.6,,,,,,,
5/28/2008 8:40,14.6,,,,,,,
5/28/2008 8:50,14.5,,,,,,,
5/28/2008 9:00,14.6,,,,,,,
5/28/2008 9:10,14.3,,,,,,,
5/28/2008 9:20,14.5,,,,,,,
5/28/2008 9:30,14.6,,,,,,,
5/28/2008 9:40,14.7,,,,,,,
5/28/2008 9:50,14.6,,,,,,,
5/28/2008 10:00,14.4,,,,,,,
5/28/2008 10:10,14.5,,,,,,,
5/28/2008 10:20,14.3,,,,,,,
5/28/2008 10:30,14.5,,,,,,,
5/28/2008 10:40,14.5,,,,,,,
5/28/2008 10:50,14.4,,,,,,,
5/28/2008 11:00,14.4,,,,,,,
5/28/2008 11:10,14.5,,,,,,,
5/28/2008 11:20,14.5,,,,,,,
5/28/2008 11:30,14.6,,,,,,,
5/28/2008 11:40,14.5,,,,,,,
5/28/2008 11:50,14.4,,,,,,,
5/28/2008 12:00,14.4,,,,,,,
5/28/2008 12:10,14.3,,,,,,,
5/28/2008 12:20,14.6,,,,,,,
5/28/2008 12:30,14.4,,,,,,,
5/28/2008 12:40,14.3,,,,,,,
5/28/2008 12:50,14.5,,,,,,,
5/28/2008 13:00,14.4,,,,,,,
5/28/2008 13:10,14.5,,,,,,,
5/28/2008 13:20,14.3,,,,,,,
5/28/2008 13:30,14.4,,,,,,,
5/28/2008 13:40,14.3,,,,,,,
5/28/2008 13:50,14.3,,,,,,,
5/28/2008 14:00,14.3,,,,,,,
5/28/2008 14:10,14.5,,,,,,,
5/28/2008 14:20,14.5,,,,,,,
5/28/2008 14:30,14.4,,,,,,,
5/28/2008 14:40,14.3,,,,,,,
5/28/2008 14:50,14.5,,,,,,,
5/28/2008 15:00,14.3,,,,,,,
5/28/2008 15:10,14.5,,,,,,,
5/28/2008 15:20,14.3,,,,,,,
5/28/2008 15:30,14.4,,,,,,,
5/28/2008 15:40,14.3,,,,,,,
5/28/2008 15:50,14.5,,,,,,,
5/28/2008 16:00,14.5,,,,,,,
5/28/2008 16:10,14.5,,,,,,,
5/28/2008 16:20,14.5,,,,,,,
5/28/2008 16:30,14.6,,,,,,,
5/28/2008 16:40,14.2,,,,,,,
5/28/2008 16:50,13.7,,,,,,,
5/28/2008 17:00,13.4,,,,,,,
5/28/2008 17:10,13.4,,,,,,,
5/28/2008 17:20,13.4,,,,,,,
5/28/2008 17:30,13.3,,,,,,,
5/28/2008 17:40,13.3,,,,,,,
5/28/2008 17:50,13.3,,,,,,,
5/28/2008 18:00,13.3,,,,,,,
5/28/2008 18:10,13.2,,,,,,,
5/28/2008 18:20,13.2,,,,,,,
5/28/2008 18:30,13.2,,,,,,,
5/28/2008 18:40,13.2,,,,,,,
5/28/2008 18:50,13.2,,,,,,,
5/28/2008 19:00,13.2,,,,,,,
5/28/2008 19:10,13.2,,,,,,,
5/28/2008 19:20,13.2,,,,,,,
5/28/2008 19:30,13.1,,,,,,,
5/28/2008 19:40,13.2,,,,,,,
5/28/2008 19:50,13.2,,,,,,,
5/28/2008 20:00,13.2,,,,,,,
5/28/2008 20:10,13.2,,,,,,,
5/28/2008 20:20,13.1,,,,,,,
5/28/2008 20:30,13.1,,,,,,,
5/28/2008 20:40,13.2,,,,,,,
5/28/2008 20:50,13.1,,,,,,,
5/28/2008 21:00,13.1,,,,,,,
5/28/2008 21:10,13.1,,,,,,,
5/28/2008 21:20,13.1,,,,,,,
5/28/2008 21:30,13.1,,,,,,,
5/28/2008 21:40,13.1,,,,,,,
5/28/2008 21:50,13.1,,,,,,,
5/28/2008 22:00,13.1,,,,,,,
5/28/2008 22:10,13.1,,,,,,,
5/28/2008 22:20,13.1,,,,,,,
5/28/2008 22:30,13.1,,,,,,,
5/28/2008 22:40,13.1,,,,,,,
5/28/2008 22:50,13.1,,,,,,,
5/28/2008 23:00,13.1,,,,,,,
5/28/2008 23:10,13.1,,,,,,,
5/28/2008 23:20,13,,,,,,,
5/28/2008 23:30,13.1,,,,,,,
5/28/2008 23:40,13,,,,,,,
5/28/2008 23:50,13,,,,,,,
5/29/2008 0:00,13,,,,,,,
5/29/2008 0:10,13,,,,,,,
5/29/2008 0:20,13,,,,,,,
5/29/2008 0:30,13,,,,,,,
5/29/2008 0:40,13,,,,,,,
5/29/2008 0:50,13,,,,,,,
5/29/2008 1:00,13,,,,,,,
5/29/2008 1:10,12.9,,,,,,,
